subject,description_zh,keywords_zh,keywords_en,subject_id,taxonomy_version
Photo,攝影、視覺創作,攝影 | 拍照,photography | visual,sub_052,1.0
Stress,壓力與情緒管理,壓力 | 情緒 | 焦慮,burnout | stress | emotional management | anxiety,sub_053,1.0
Value,價值觀與原則,價值觀 | 原則 | 信念,values | principles | beliefs,sub_054,1.0
Vision,願景、長期目標、未來規劃,願景 | 長期 | 未來,vision | long-term | future planning,sub_055,1.0
Culture,文化觀察、職場文化、社會文化,文化 | 職場文化 | 組織文化,culture | workplace culture | organizational culture,sub_056,1.0
Motivation,動機、驅動力、內在驅動,動機 | 驅動力 | 內在,motivation | intrinsic motivation | drive,sub_057,1.0
Newsletter,電子報創作、電子報策略、訂閱者成長,電子報 | 訂閱 | 開信率 | 電子報策略,newsletter | email marketing | subscriber | open rate,sub_058,1.0
Trend,趨勢觀察、市場動向、新興議題,趨勢 | 市場動向 | 新興 | 未來,trend | market shift | emerging topic,sub_059,1.0
LinkedIn,LinkedIn 經營與個人品牌,社群 | 職業社群,LinkedIn | LinkedIn strategy | professional network,sub_060,1.0
Anxiety,焦慮、不確定感、心理壓力,焦慮 | 不安 | 恐懼,anxiety | uncertainty | fear | imposter syndrome,sub_061,1.0
Innovation,創新思維、突破框架,創新 | 突破 | 創意,innovation | creative thinking | disruption,sub_062,1.0
Strategy,策略規劃與戰略思考,策略 | 戰略 | 規劃 | 競爭,strategy | strategic planning | competitive advantage,sub_063,1.0
Event,活動籌備、見面會、直播活動,活動 | 見面會 | 直播 | 工作坊,event | meetup | workshop | livestream,sub_064,1.0
Wealth,財富積累與財富觀,財富 | 資產,wealth building | assets,sub_065,1.0
R&R,休息、充電、假期,休息 | 充電 | 假期 | 度假,rest | recharge | vacation,sub_066,1.0
Happiness,幸福感與快樂來源,快樂 | 幸福 | 幸福感,happiness | joy | wellbeing,sub_067,1.0
Advertisement,廣告投放與素材,廣告 | 投放 | 素材,ad | advertising | creative | ad spend,sub_068,1.0
MECE,MECE 思維與麥肯錫框架,麥肯錫 | 結構化思維,MECE | McKinsey | structured thinking | mutually exclusive,sub_069,1.0
Philosophy,哲學思想與人生哲學,哲學 | 思想 | 存在,philosophy | stoicism | existentialism,sub_070,1.0
Kids,親子教育、育兒,孩子 | 親子 | 育兒,parenting | kids | children,sub_071,1.0
Success,成功學、成功案例分析,成功 | 案例 | 標竿,success | case study | benchmark,sub_072,1.0
Thinking,思考框架、心智模型,思考 | 框架 | 邏輯,mental model | thinking | framework | logic,sub_073,1.0
Operation,日常營運、執行力,營運 | 執行 | 日常,operations | execution | daily ops,sub_074,1.0
RPA,機器人流程自動化,自動化 | 流程機器人,RPA | robotic process automation,sub_075,1.0
Sales,銷售技巧與業務開發,銷售 | 業務 | 轉換,sales | business development | conversion,sub_076,1.0
Automation,工作流程自動化（非 RPA 專屬）,自動化,workflow | n8n | Make | Zapier | agent | automation | AI agent,sub_077,1.0
Leadership,領導力、高階思維、影響力,領導力 | 影響力 | 高階,leadership | influence | executive presence,sub_078,1.0
Prompt Engineering,提示詞工程、AI 指令設計,提示詞 | 指令 | AI 指令,prompt | prompt engineering | system prompt | instruction design,sub_079,1.0
Product,產品思維、產品設計、產品策略,產品 | 功能 | 用戶故事,PRD | product thinking | product design | user story,sub_080,1.0
Content Writing,內容創作、文案、寫作技巧,內容 | 文案 | 標題,copywriting | content writing | headline,sub_081,1.0
Mental model,心智模型與思維工具,心智模型 | 思維工具 | 第一性原理,mental model | first principles | thinking tool,sub_082,1.0
